"filename", "language", "JSON with Comments", "HTML", "JSON", "TypeScript", "JavaScript", "PostCSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"c:\MAMP\htdocs\site\Site\src\styles\failed.module.css", "PostCSS", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"c:\MAMP\htdocs\site\Site\src\styles\faq.module.css", "PostCSS", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 15, 69
"c:\MAMP\htdocs\site\Site\src\styles\features.module.css", "PostCSS", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 16, 86
"c:\MAMP\htdocs\site\Site\src\styles\global - Copy.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 46
"c:\MAMP\htdocs\site\Site\src\styles\global.css", "PostCSS", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 11, 48
"c:\MAMP\htdocs\site\Site\src\styles\privacy.module.css", "PostCSS", 0, 0, 0, 0, 0, 81, 0, 0, 0, 10, 33, 124
"c:\MAMP\htdocs\site\Site\src\styles\refund.module.css", "PostCSS", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 15, 82
"c:\MAMP\htdocs\site\Site\src\styles\shared.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\MAMP\htdocs\site\Site\src\styles\success.module.css", "PostCSS", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"c:\MAMP\htdocs\site\Site\src\styles\terms.module.css", "PostCSS", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 14, 86
"c:\MAMP\htdocs\site\Site\tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\MAMP\htdocs\site\Site\tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\MAMP\htdocs\site\Site\tsconfig.node.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\MAMP\htdocs\site\Site\vercel.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\MAMP\htdocs\site\Site\vite.config.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 1, 11
"Total", "-", 7, 13, 3519, 9, 22, 1467, 1206, 60, 2, 343, 629, 7277
